mom_id,date,e. Manufacture of dairy products,"(P). MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS","e. Manufacture of cutlery, hand tools and general hardware",a. Manufacture of structural metal products,d. Manufacture of other porcelain and ceramic products,b. Manufacture of refractory products,h. Manufacture of man-made fibres,f. Manufacture of other textiles,a. Manufacture of tobacco products,(C). MANUFACTURE OF TOBACCO PRODUCTS,h. Manufacture of bakery products,g. Manufacture of starches and starch products,d. Manufacture of games and toys,(V). OTHER MANUFACTURING,n. Manufacture of other special-purpose machinery,b. Manufacture of batteries and accumulators,d. Manufacture of consumer electronics,"e. Manufacture of cement, lime and plaster",a. Manufacture of glass and glass products,g. Manufacture of other chemical products,d. Manufacture of pesticides and other agrochemical products,b. Manufacture of fertilizers and nitrogen compounds,a. Manufacture of electronic components,c. Manufacture of builders carpentry and joinery,c. Manufacture of sports goods,d. Manufacture of vegetable and animal oils and fats,b. Manufacture of musical instruments,(U). MANUFACTURE OF FURNITURE,"(S). MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",j. Manufacture of metal-forming machinery and machine tools,f. Manufacture of lifting and handling equipment,(R). MANUFACTURE OF MACHINERY AND EQUIPMENT,g. Manufacture of other electrical equipment,f. Manufacture of domestic appliances,c. Manufacture of communication equipment,f. Manufacture of other fabricated metal products,"b. Manufacture of tanks, reservoirs and containers of metal",i. Manufacture of non-ferrous metals incl. precious metals,"f. Manufacture of articles of concrete, cement and plaster",c. Manufacture of clay building materials,c. Manufacture of plastics products,(J). MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,c. Manufacture of other articles of paper and paperboard,(H). MANUFACTURE OF PAPER AND PAPER PRODUCTS,d. Manufacture of wooden containers,b. Manufacture of knitted and crocheted apparel,c. Manufacture of knitted and crocheted fabrics,(A). MANUFACTURE OF FOOD PRODUCTS,c. Manufacture of footwear,"d. Manufacture of bearings, gears, gearing and driving elements","e. Manufacture of cordage, rope, twine and netting",c. Manufacture of motor cycles,b. Manufacture of railway locomotives and rolling stock,(T). MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,h. Manufacture of other general-purpose machinery,"e. Manufacture of ovens, furnaces and furnace burners",(Q). MANUFACTURE OF ELECTRICAL EQUIPMENT,f. Manufacture of watches and clocks,b. Manufacture of computers and peripheral equipment,(M). MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,b. Manufacture of other rubber products,(L). MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,"a. Manufacture of pulp, paper and paperboard",(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK  ,"d. Manufacture of made-up textile articles, except apparel",(D). MANUFACTURE OF TEXTILES,b. Manufacture of malt liquors and malt,p. Manufacture of prepared animal feeds,n. Manufacture of processed ready to eat food,"j. Manufacture of cocoa, chocolate and sugar confectionery",f. Manufacture of grain mill products,"b. Manufacture of luggage, handbags, saddlery and harness",d. Manufacture of bicycles and invalid carriages,e. Manufacture of medical and dental instruments and supplies,(N). MANUFACTURE OF BASIC METALS,l. Manufacture of Tea & Coffee products,a. Manufacture of wines & spirits,III   MANUFACTURED PRODUCTS,a. Manufacture of jewellery and related articles,a. Manufacture of furniture,e. Manufacture of other transport equipment,b. Manufacture of parts and accessories for motor vehicles,a. Manufacture of motor vehicles,i. Manufacture of agricultural and forestry machinery,g. Manufacture of office machinery and equipment,"c. Manufacture of other pumps, compressors, taps and valves",b. Manufacture of fluid power equipment,o. Manufacture of renewable electricity generating equipment,m. Manufacture of Processed condiments & salt,c. Manufacture of plastic and synthetic rubber in primary form,a. Manufacture of basic chemicals,(F). MANUFACTURE OF LEATHER AND RELATED PRODUCTS,"a. Manufacture of wearing apparel (woven), except fur apparel",(E). MANUFACTURE OF WEARING APPAREL,(B). MANUFACTURE OF BEVERAGES,o. Manufacture of Health supplements,h. Manufacture of other non-metallic mineral products,"i. Manufacture of sugar, molasses & honey"
2015-Jun,01-06-2015,138.57,216.99,21.62,104.12,23.69,26.3,28.31,21.83,64.86,64.86,25.1,11.78,0.54,131.73,53.37,28.21,65.98,162.23,32.23,74.98,52.57,165.81,41.68,4.61,1.36,240.92,0.16,76.87,559.46,24.65,29.49,520.6,22.04,41.97,31.15,79.11,71.72,176.75,31.94,11.48,162.48,700.99,33.95,122.77,14.44,24.67,20.21,977.88,36.17,35.18,13.09,133.91,10.92,176.62,53.19,0.68,312.39,9.06,44.84,326.73,24.98,248.2,55.73,94.49,33.82,533.58,25.13,47.98,2.79,20.16,235.41,9.67,12.9,6.16,884.47,42.69,44.09,6845.05,123.59,76.87,0.18,248.95,311.43,89.4,0.74,60.48,17.63,4.22,21.19,113.08,148.67,62.36,69.23,94.01,101.08,28.41,13.83,105.05
2015-Jul,01-07-2015,140.15,217.4,21.69,101.29,23.72,26.13,28.22,21.77,63.17,63.17,25.58,11.75,0.55,133.79,51.52,28.42,65.2,164.48,32.34,73.65,53.51,166.08,41.06,4.56,1.38,240.68,0.18,78.34,561.99,24.51,29.32,516.39,22.08,42.57,31.27,79.04,71.4,170.93,31.94,11.41,159.86,699.16,32.71,122.44,14.75,24.35,20.27,978.75,36.48,35.11,13.05,134.31,10.9,176.79,55.39,0.58,310.42,9.06,44.84,329.12,25.01,245.74,56.07,95.07,34.11,534.07,25.2,48.17,2.85,20.54,236.37,9.62,12.77,6.16,864.43,42.96,44.25,6820.23,125.66,78.34,0.18,248.71,313.88,90.21,0.74,55.7,17.48,4.23,20.85,111.87,147.57,62.51,69.02,93.49,101.43,28.99,13.68,101.01
2015-Aug,01-08-2015,139.02,216.39,21.83,102.17,23.48,26.05,27.98,21.93,65.15,65.15,25.81,12.1,0.57,124.4,51.75,28.3,64.81,166.28,32.34,73.38,52.57,167.18,40.94,4.59,1.35,235.86,0.17,81.21,555.93,24.45,29.18,513.57,21.77,42.36,31.27,78.1,71.27,167.6,31.96,11.67,158.62,694.26,33.61,122.88,15.18,25.15,19.96,982.21,36.48,34.85,13.27,136.42,10.9,179.29,53.88,0.56,307.89,9.1,44.87,331.5,24.53,243.73,55.73,94.56,33.56,531.16,24.29,50.31,2.86,21,237.72,9.74,12.96,6.21,834.37,42.69,44.29,6776.79,116.08,81.21,0.18,250.11,305.99,89.48,0.74,55.39,17.63,4.07,21.1,108.87,146.62,63.08,69.8,95.03,100.9,29.57,14.22,103.59
2015-Sep,01-09-2015,140.26,217.4,21.97,102.75,22.99,24.78,27.31,21.79,64.62,64.62,25.73,12.32,0.57,137,51.1,28.35,65.66,167.78,32.57,72.71,52.95,168,41.21,4.56,1.34,235.62,0.19,77.57,556.94,24.62,29.29,507.48,21.79,42.5,31.27,78.46,70.23,167.93,31.83,11.52,156.41,691.81,33.51,123.75,14.98,25.69,20.08,987.39,36.35,34.68,13.26,136.56,10.96,179.29,52.61,0.58,304.79,9.1,44.87,331.21,24.61,241.49,56.21,93.77,33.73,528.26,24.4,50.93,2.86,20.8,239.45,9.58,12.85,6.21,839.84,42.79,44.29,6776.79,128.82,77.57,0.17,251.28,306.26,89.24,0.74,55.08,17.61,4.11,21.49,108.13,145.25,62.77,68.3,93.93,100.9,30.15,13.86,105.72
2015-Oct,01-10-2015,140.15,218.81,22.1,101.98,23.72,25.58,27.01,22.24,63.55,63.55,25.96,12.44,0.57,138.72,51.47,28.42,67.54,167.78,32.71,72.71,53.17,167.73,40.67,4.58,1.38,238.76,0.19,78.62,562.49,24.14,29.32,512.64,21.67,42.61,31.42,77.6,69.71,167.1,32.1,12.51,156.82,689.36,32.89,123.1,14.65,25.88,20.15,995.18,36.04,34.38,13.35,135.37,10.96,178.12,52.9,0.61,305.07,9.06,44.94,333.89,24.8,241.49,55.83,94.13,33.94,526.32,24.25,51.79,2.84,20.92,242.53,9.55,12.85,6.21,834.37,41.84,44.73,6789.2,130.56,78.62,0.17,253.14,309.8,90.05,0.74,55.03,17.72,4.09,21.41,107.56,143.6,61.6,68.76,94.59,101.97,29.84,13.99,108.19
2015-Nov,01-11-2015,139.24,219.41,22.04,102.27,23.72,25.47,26.92,22.3,63.51,63.51,26.15,12.5,0.57,137,51.7,28.47,68.52,167.03,32.77,72.31,52.74,166.77,39.58,4.6,1.38,237.79,0.17,78.83,561.99,24.14,28.96,511.7,21.53,42.43,32.02,78.24,69.84,164.94,32.05,12.54,156.41,685.07,32.83,123.1,15.06,25.34,20.32,989.99,36.04,34.38,13.61,133.65,11.22,176.62,52.29,0.61,303.66,9.06,44.94,332.4,24.4,240.82,55.78,94.13,34.02,524.87,24.23,51.1,2.87,20.19,238.29,9.71,12.83,6.21,812.51,41.97,45.09,6751.96,128.93,78.83,0.17,253.14,309.53,90.05,0.74,55.23,17.64,4.1,21.24,105.97,142.65,61.75,69.38,94.74,102.33,31.3,13.57,109.09
2015-Dec,01-12-2015,140.49,218.4,21.38,101.49,23.95,25.62,26.83,22.39,64.91,64.91,26.06,12.78,0.57,137.57,52.72,28.47,66.96,165.08,32.71,71.5,52.1,166.77,40.32,4.62,1.4,237.07,0.17,78.97,561.48,22.65,28.93,510.76,21.63,42.65,32.02,77.16,70.56,160.44,32.02,12.54,154.06,680.18,33.08,123.32,14.9,24.7,20.25,997.77,36.44,34.28,13.57,133.65,11.22,176.62,52.12,0.61,302.82,9.05,44.98,331.21,24.16,238.13,55.83,93.34,34.4,525.84,24.2,51.49,2.88,20.31,242.34,9.54,12.82,6.25,792.47,41.43,44.85,6727.14,129.26,78.97,0.17,252.44,309.53,90.13,0.74,55.13,17.64,4.09,21.56,104.01,141.55,62.62,69.12,93.93,102.24,31.62,13.33,112.12
2016-Jan,01-01-2016,139.24,219.21,22.22,101.49,23.27,25.23,26.72,22.02,63.6,63.6,26,12.89,0.57,123.26,52.63,28.28,67.41,162.68,32.91,70.7,52.52,167.04,40.47,4.69,1.4,234.42,0.19,79.32,560.47,22.58,28.93,507.01,21.47,42.72,32.02,76.95,71.27,159.94,31.77,12.21,152.82,678.34,32.96,123.32,14.94,25.36,19.83,999.5,37.03,34.91,13.67,135.37,11.22,178.29,50.29,0.61,303.66,9.15,44.98,327.33,23.62,235.89,56.07,93.27,34.2,521.96,24.36,52.05,2.91,21.16,240.99,9.7,12.82,6.25,789.74,41.26,44.97,6702.32,114.77,79.32,0.17,251.51,309.53,89.89,0.74,55.29,17.63,4.1,22.13,102.61,141.14,62.67,69.07,94.45,102.5,31.57,13.33,117.73
2016-Feb,01-02-2016,139.58,220.62,22.2,101.68,23.74,24.33,26.81,21.77,65.01,65.01,26.04,12.78,0.57,135.51,53.14,28.42,66.37,161.93,32.74,70.43,52.18,167.04,42.54,4.68,1.39,236.35,0.19,79.04,558.45,22.61,28.85,506.55,21.63,42.65,32.02,77.31,70.56,161.11,31.44,12.47,152.68,677.12,32.37,122.33,15.07,24.78,19.98,1003.82,36.97,35.14,13.66,134.44,11.22,177.29,50.33,0.61,303.95,9.2,44.94,325.54,23.67,235.67,55.97,93.41,34.43,526.8,24.51,52.38,2.92,20.35,242.14,9.78,12.81,6.25,796.12,39.77,44.85,6720.93,127.19,79.04,0.17,249.88,308.98,89.81,0.73,55.29,17.43,4.1,21.78,101.77,141.28,62.67,68.87,93.71,102.5,31.48,13.22,120.65
2016-Mar,01-03-2016,140.26,217.6,22.43,101.49,23.72,24.55,27.42,21.73,66.17,66.17,25.96,12.81,0.57,132.53,52.95,28.47,65.59,162.98,32.71,70.63,51.2,166.63,40.75,4.7,1.39,240.44,0.17,80.16,555.43,22.61,28.68,508.42,21.95,42.72,32.02,78.1,69.65,163.77,31.66,12.35,153.65,678.95,32.92,122.99,15.35,24.8,20.27,1012.47,37.03,35.14,13.61,132.72,10.99,175.45,50.53,0.61,305.35,9.22,44.84,327.33,24.13,237.24,56.21,93.92,34.4,526.32,24.67,52.51,2.96,20.5,240.41,9.69,12.82,6.33,812.51,43.33,44.93,6751.96,124.14,80.16,0.17,249.18,307.08,90.29,0.73,55.29,17.41,3.92,21.52,103.73,142.23,62.92,67.98,92.84,102.5,31.37,13.16,123.23
2016-Apr,01-04-2016,141.95,216.39,22.28,100.03,23.72,24.21,27.81,21.91,69.07,69.07,25.96,12.7,0.57,130.36,53.28,28.63,64.88,163.13,33.14,70.9,50,166.63,40.98,4.71,1.4,248.39,0.19,78.48,555.93,22.56,28.87,505.14,21.3,42.5,31.27,75.58,69.32,162.94,31.69,11.98,157.24,682.63,32.68,122.44,15.29,24.98,20.46,1037.54,37.77,34.58,13.4,130.87,10.99,173.62,50.25,0.61,305.63,9.22,44.84,325.54,23.94,240.37,56.36,93.63,34.66,530.19,24.82,53.49,2.96,22.11,243.68,9.51,12.86,6.33,818.89,44.15,44.89,6776.79,121.96,78.48,0.17,249.65,307.08,90.94,0.73,55.13,17.35,4.03,21.41,107.28,142.23,63.08,68.04,92.98,103.04,31.28,11.99,131.31
2016-May,01-05-2016,143.2,215.99,22.45,99.64,23.74,24.89,27.42,22.22,67.96,67.96,25.98,12.71,0.57,144.79,53.19,28.63,64.94,164.93,33.51,71.37,50.9,166.36,40.36,4.8,1.42,251.76,0.17,80.02,557.44,22.52,28.65,504.67,21.47,42.61,31.27,77.81,67.25,163.27,31.5,11.91,155.03,683.85,32.89,122.88,15.2,25.28,20.38,1049.65,37.68,34.68,13.57,131.79,10.99,174.62,50.25,0.61,304.79,9.22,44.84,328.52,24.37,238.58,56.31,93.41,34.95,532.61,25.07,54.12,3,21.45,247.73,9.46,12.99,6.33,821.62,43.94,44.61,6814.02,136.55,80.02,0.17,251.05,307.08,90.7,0.73,55.13,17.44,4.03,21.73,107.94,142.51,63.74,69.33,94.67,103.22,31.5,11.96,132.55
2016-Jun,01-06-2016,144.66,218.4,22.3,98.47,23.74,24.87,27.39,21.65,68.4,68.4,26.23,12.72,0.57,138.61,53.37,28.07,64.62,167.03,33.03,71.3,50.42,166.22,42.11,4.84,1.44,250.8,0.17,78.69,559.97,22.61,28.76,506.08,21.18,42.68,31.27,77.81,69.52,162.61,31.72,11.95,155.86,681.4,32.92,123.42,14.91,25.84,20.27,1062.62,37.77,35.04,13.62,134.97,10.99,177.95,50.41,0.61,302.82,10.17,44.84,330.01,23.99,239.47,56.7,92.55,34.81,533.58,24.93,55.2,2.9,21.49,256.19,9.61,13.09,6.33,816.16,44.86,44.57,6826.43,130.24,78.69,0.17,250.35,310.07,90.61,0.73,55.18,17.49,4.02,22.13,107.1,142.51,63.13,69.95,95.76,102.68,31.79,11.51,133.45
2016-Jul,01-07-2016,145.34,218.2,22.57,98.86,23.76,25.3,27.42,21.91,67.48,67.48,26.35,13.32,0.57,146.51,53.51,27.95,64.68,167.48,33.59,71.5,50.17,165.26,41.72,4.86,1.45,251.28,0.17,78.97,558.45,21.76,28.9,505.14,21.4,42.65,31.27,76.73,69.39,163.77,31.36,11.71,155.03,683.85,32.89,123.53,15.02,25.77,20.19,1074.72,38.14,34.45,13.46,132.72,11.14,175.95,50.78,0.61,306.2,10.16,44.84,330.01,24.37,239.03,56.75,93.7,35.1,538.91,25.11,56.09,2.95,21.61,262.16,9.56,13.11,6.33,807.96,44.52,45.25,6845.05,138.3,78.97,0.17,250.81,308.44,90.7,0.73,55.08,17.38,4,22.24,108.97,143.06,63.13,69.23,95.03,102.95,32.57,10.73,136.36
2016-Aug,01-08-2016,147.04,219.21,23.23,97.59,23.78,25.1,27.37,21.38,68.2,68.2,26.44,13.27,0.58,144.33,53.33,27.93,65.2,166.88,33.28,71.37,49.7,163.61,42.34,4.99,1.45,254.9,0.18,79.11,559.46,21.76,28.96,503.73,21.57,42.61,31.27,75.79,68.67,163.11,31.2,10.78,155.03,677.73,32.65,123.32,15.09,25.9,20.36,1080.77,37.56,34.45,13.63,135.89,11.89,179.79,50.86,0.55,303.95,10.18,44.84,327.93,24.24,238.8,56.41,94.28,35.18,543.27,25.22,56.22,2.92,22.33,261.2,9.72,13.12,6.21,799.76,43.98,45.33,6838.85,136.23,79.11,0.17,251.75,308.17,90.45,0.73,55.29,17.43,4.01,22.2,105.97,142.65,62.87,69.23,95.11,102.95,32.26,11,137.82
2016-Sep,01-09-2016,148.5,218.61,23.07,98.57,23.78,25.15,27.66,21.07,69.12,69.12,26.42,13.04,0.57,140.78,53.46,27.85,64.68,168.67,32.97,71.03,49.91,162.51,42.15,5.15,1.47,259.23,0.2,78.97,557.95,21.81,28.82,503.27,21.38,42.79,31.27,78.32,68.03,162.11,31.31,11.24,154.89,675.28,32.12,122.33,15.13,27.26,20.44,1088.56,38.14,34.08,13.27,135.89,11.88,179.95,51.31,0.55,304.51,10.2,44.84,330.61,23.81,238.36,56.21,95.07,35.21,542.78,25.46,56.15,2.91,21.85,263.89,9.71,13.18,6.21,807.96,43.37,45.61,6851.26,132.52,78.97,0.17,250.11,308.17,90.7,0.73,55.03,17.29,3.84,22.05,104.29,142.37,63.18,69.28,96.42,103.31,32.39,10.75,139.17
2016-Oct,01-10-2016,150.31,218.61,22.92,99.44,23.78,24.65,27.25,21.63,68.06,68.06,26.63,12.7,0.57,141.7,54.25,28.54,65.79,168.67,33.05,71.1,49.4,162.51,41.25,5.18,1.47,259.23,0.18,80.37,558.45,21.88,28.9,505.61,21.45,42.9,31.27,79.61,69.52,163.44,31.55,10.35,155.72,675.28,32.31,123.1,14.79,27.58,20.27,1095.47,37.62,34.18,13.1,135.89,11.88,179.95,51.39,0.54,303.66,10.2,44.84,328.82,23.65,239.25,56.5,92.69,35.24,536.49,25.37,55.2,2.94,21.73,267.17,9.63,13.2,6.21,828.91,42.96,45.73,6876.08,133.4,80.37,0.17,250.58,308.17,90.94,0.73,55.03,17.37,3.83,22.05,104.85,142.23,62.77,68.55,95.98,103.4,32.37,10.72,141.75
2016-Nov,01-11-2016,150.54,219.01,23.6,97.69,23.78,25.15,27.25,22.16,68.78,68.78,26.65,12.51,0.55,135.4,53.6,28.3,66.18,165.83,33.22,70.77,49.4,161.82,41.21,5.2,1.47,260.2,0.18,80.79,556.94,22.1,28.82,503.73,21.16,42.72,31.27,76.88,69.52,165.94,32.05,10.57,157.24,676.5,32.8,125.17,15,27.06,20.17,1100.66,37.71,34.55,13.27,137.35,11.78,181.29,51.27,0.54,303.38,10.19,44.84,327.63,24.13,241.27,56.84,92.83,35.41,536.49,25.35,54.32,2.91,21.52,272.36,9.38,13.18,6.21,837.11,42.58,46.09,6888.49,127.19,80.79,0.17,249.18,308.44,90.7,0.73,55.96,17.35,3.86,22.43,106.16,143.06,62.36,68.97,95.91,103.75,31.44,10.72,142.65
2016-Dec,01-12-2016,152.01,218,22.78,100.22,23.8,24.63,27.48,22.41,69.12,69.12,26.67,12.28,0.56,128.98,54.11,28.42,64.16,164.03,32.57,71.17,49.48,160.31,42.15,5.23,1.48,265.26,0.18,79.46,555.93,22.14,28.99,507.48,21.16,42.9,31.27,78.1,72.31,170.26,31.8,10.34,157.38,674.67,32.68,124.73,15.07,27.28,20.29,1104.12,36.94,35.48,13.39,138.54,11.78,182.29,51.47,0.54,304.79,10.17,44.84,324.65,24.26,241.49,57.08,93.48,35.5,536.97,25.2,53.59,2.94,21.73,272.56,9.51,13.14,6.21,844.39,41.6,46.21,6894.7,120.55,79.46,0.17,247.78,308.98,90.61,0.73,55.96,17.46,3.85,22.27,105.23,142.92,61.44,69.85,97.01,104.38,31.44,10.7,141.08
2017-Jan,01-01-2017,154.38,220.02,23.44,102.17,23.84,24.93,28.28,22.75,69.17,69.17,26.77,12.4,0.57,131.73,53.98,28.63,64.81,163.73,32.68,71.37,50.51,160.72,41.91,5.29,1.47,267.43,0.19,80.51,555.43,22.14,29.13,506.55,21.18,43.11,31.27,79.18,73.21,171.93,31.61,11.09,157.79,677.73,32.8,124.84,15.18,27.84,20.69,1106.71,36.78,34.85,13.53,140.13,11.8,184.12,51.19,0.55,304.79,10.21,44.84,324.65,24.53,242.38,57.62,93.84,35.56,539.39,25.18,53.07,2.9,21.45,268.13,9.38,13.43,5.8,853.5,41.19,45.69,6925.73,123.81,80.51,0.18,247.55,308.44,90.86,0.73,56.01,17.44,3.87,21.41,104.85,143.74,61.6,70.53,98.25,104.02,31.79,10.7,146.35
2017-Feb,01-02-2017,156.52,219.21,23.58,102.46,23.84,24.46,28.99,22.71,68.3,68.3,26.67,12.54,0.58,130.7,54.11,28.54,65.59,163.73,33.14,71.84,50.12,160.31,41.25,5.25,1.48,265.02,0.17,81.07,556.43,22.72,29.27,507.01,21,42.5,31.27,79.33,75.42,174.42,32.05,10.41,158.2,681.4,32.99,124.95,15.08,26.83,20.67,1106.71,36.88,34.98,13.67,138.81,11.8,182.96,51.31,0.55,303.95,10.23,44.84,324.65,24.69,243.5,57.96,94.28,35.76,542.3,25.4,52.51,2.89,21.42,266.78,9.44,13.43,5.8,853.5,39.8,45.81,6938.14,122.94,81.07,0.18,249.18,308.17,90.61,0.73,55.29,17.34,3.85,21.17,107,145.38,61.39,69.95,96.72,104.29,31.62,10.7,149.16
2017-Mar,01-03-2017,158.56,217.6,23.6,102.27,23.99,25.04,28.78,22.92,68.83,68.83,26.77,12.53,0.58,131.62,54.3,28.49,64.94,163.73,33.28,72.17,50.21,160.45,40.79,5.25,1.47,261.16,0.17,81.48,558.96,22.14,29.43,507.48,21.14,42.57,31.27,79.61,77.56,174.92,31.83,10.89,158.07,683.85,33.42,126.15,14.88,26.96,20.57,1100.66,36.75,35.08,13.65,139.07,11.9,183.29,51.47,0.55,303.95,10.23,44.84,325.84,24.34,243.5,58.68,93.77,35.85,546.66,25.53,51.95,2.91,21.28,264.47,9.43,13.45,5.95,870.81,39.94,46.05,6969.17,123.59,81.48,0.18,250.58,308.71,90.05,0.73,55.86,17.38,3.86,20.56,106.91,146.62,61.39,70.58,97.45,104.73,31.62,10.81,149.72
2017-Apr,01-04-2017,159.23,220.02,23.62,101.59,24.01,25.62,28.25,22.71,69.27,69.27,26.92,12.64,0.58,131.73,54.39,28.63,66.89,168.67,33.28,72.24,50.04,160.86,41.02,5.28,1.48,258.27,0.17,79.74,559.97,22.43,29.32,507.48,21.47,42.86,31.27,79.9,77.95,174.76,31.96,10.79,157.38,683.24,33.92,126.91,14.94,26.96,20.65,1099.8,36.85,35.14,13.67,136.03,11.76,180.12,50.94,0.55,305.07,10.32,44.84,331.5,24.37,243.06,58.73,94.28,35.96,551.01,25.75,52.02,2.93,21.28,263.51,9.35,13.47,5.98,887.21,42.65,46.05,6987.79,123.59,79.74,0.18,251.51,308.98,90.45,0.73,55.86,17.37,3.83,20.14,105.97,146.62,60.73,71.3,98.18,105.09,31.82,10.75,148.71
2017-May,01-05-2017,160.14,218.81,23.62,101.49,23.99,25.64,27.96,22.94,68.49,68.49,27.19,12.59,0.58,129.33,54.25,28.73,65.2,171.82,33.25,73.04,50.21,161,40.98,5.28,1.48,255.38,0.17,81.42,562.49,22.14,28.96,506.55,21.57,43.08,31.27,80.33,76.98,173.76,32.16,11.08,156.27,683.85,34.87,128.33,14.77,27.64,20.82,1097.2,37,34.68,13.68,137.62,11.76,181.79,51.06,0.55,305.35,10.32,44.91,335.38,24.37,241.71,59.07,94.56,35.96,550.04,25.75,51.75,2.95,21.33,261.97,9.48,13.47,5.98,882.65,43.16,45.61,6987.79,121.2,81.42,0.18,252.44,310.62,90.78,0.73,56.07,17.41,3.77,20.19,105.51,146.75,61.24,71.1,98.62,104.65,31.17,11.03,149.38
2017-Jun,01-06-2017,161.83,219.81,23.27,101.2,23.84,25.17,27.96,22.96,69.85,69.85,27.21,12.61,0.58,130.47,54.9,28.04,66.11,172.12,33.03,73.31,50.08,159.9,41.21,5.41,1.48,255.14,0.17,82.32,563.5,22.7,29.21,508.42,21.69,43.18,31.27,79.25,76.07,172.59,32.57,11.61,156,682.63,35.59,129.2,14.79,27.64,20.8,1098.93,37.03,34.88,13.72,138.01,11.65,182.29,51.76,0.58,306.76,10.14,44.91,335.98,24.5,241.71,59.12,95.07,36.11,550.04,25.75,51.1,2.95,21.87,261.78,9.39,13.69,6.36,877.19,45.2,45.93,6987.79,121.85,82.32,0.18,253.38,310.89,90.7,0.73,56.22,17.58,3.78,20.36,103.82,147.03,61.04,71.1,98.62,104.82,32.06,11.36,148.37
2017-Jul,01-07-2017,160.81,220.02,22.61,102.07,23.91,24.85,28.16,22.75,70.33,70.33,26.92,12.42,0.58,129.79,54.67,27.15,67.28,170.47,33.05,72.57,49.4,159.35,40.36,5.37,1.48,255.14,0.2,83.23,556.94,21.85,29.1,505.61,21.51,43.43,31.45,79.69,76.78,173.09,32.57,11.14,156.69,680.18,35.71,129.64,14.74,27.95,20.86,1096.34,37.62,35.11,13.39,137.88,11.93,181.96,51.63,0.58,308.45,9.98,44.87,333.89,24.48,240.15,58.49,95,36.02,548.59,25.97,50.37,2.95,21.64,262.55,9.31,13.39,6.53,883.56,44.35,46.01,6987.79,120.98,83.23,0.18,251.51,305.99,90.37,0.73,56.38,17.54,3.77,20.24,104.57,147.71,61.55,71.51,99.35,106.43,31.97,11.82,149.27
2017-Aug,01-08-2017,161.94,220.62,19.27,101.39,24.06,23.84,28.4,22.75,72.46,72.46,26.75,12.41,0.58,120.28,55.27,27.1,68,169.27,33.68,72.57,49.22,160.04,40.47,5.37,1.47,256.1,0.2,84.14,557.44,22.36,29.13,508.42,21.49,43.47,31.45,80.69,76.2,176.25,32.49,10.48,157.1,680.18,35.86,128.77,14.85,28.46,20.42,1101.52,37.59,36.61,13.36,137.75,11.91,181.96,51.76,0.58,309.29,9.94,44.87,332.1,24.42,240.82,58.15,95.36,36.05,550.53,26.02,50.21,2.95,21.92,264.47,9.25,13.39,6.6,897.23,44.59,45.81,7000.2,111.18,84.14,0.18,250.11,308.17,90.7,0.73,55.7,17.51,3.77,20.1,104.1,147.44,60.83,71.3,99.64,105.81,31.73,12.2,149.72
2017-Sep,01-09-2017,163.98,225.05,19.44,102.95,24.01,24.25,28.43,22.96,72.7,72.7,26.63,12.5,0.58,122.11,55.37,27.13,68.32,170.47,33.2,72.98,48.71,160.04,40.32,5.23,1.47,259.72,0.19,87.43,557.95,22.1,30.19,508.42,22.3,43.68,34.84,84.01,77.62,179.92,32.76,10.5,156.96,681.4,36.24,130.73,15.11,28.85,20.31,1110.17,37.59,36.07,13.46,138.41,12.04,182.79,52.41,0.58,311.54,9.94,44.87,333.59,24.42,240.82,59.26,95.72,36.08,548.11,26.17,50.08,2.93,21.85,267.55,9.43,13.42,6.67,919.09,44.38,45.65,7056.05,113.03,87.43,0.18,251.98,306.26,90.86,0.73,56.07,17.52,3.78,20.57,105.41,148.12,61.14,71.46,100.16,105.98,32.08,12.04,149.38
2017-Oct,01-10-2017,162.4,224.05,19.44,101.29,24.08,24.23,28.54,22.82,72.56,72.56,26.75,12.47,0.57,124.17,55.74,27.2,67.35,169.72,33.25,73.44,48.37,160.45,40.63,5.28,1.47,261.4,0.21,85.4,556.94,21.92,30.14,510.76,22.04,43.54,34.75,84.44,82.1,182.91,32.92,10.65,157.24,685.07,36.39,130.18,14.85,30.31,20.65,1108.44,37.4,36.61,13.47,140,12.04,184.29,52.08,0.58,310.14,9.98,44.87,332.99,24.56,240.59,58.78,95,36.08,545.69,26.02,49.42,2.98,21.83,266.59,9.61,13.42,6.67,917.27,44.89,45.81,7056.05,115.1,85.4,0.18,252.21,305.18,91.02,0.73,56.27,17.61,3.78,20.73,105.41,150.86,61.39,70.99,101.04,106.07,31.39,12.04,148.04
